age,balance,products_number,active_member,churn_risk_score,risk_level
58,106458.31,4,0,100.0,High
54,125889.3,3,0,100.0,High
44,105770.7,3,0,100.0,High
56,0.0,1,0,100.0,High
48,108076.33,1,0,100.0,High
45,89158.94,3,0,99.0,High
49,88915.37,3,0,99.0,High
46,0.0,3,0,99.0,High
59,104568.41,1,0,99.0,High
45,0.0,4,0,99.0,High
48,115115.38,1,0,98.0,High
51,144237.91,4,0,98.0,High
56,104217.3,1,0,98.0,High
54,0.0,1,0,98.0,High
48,120568.41,1,0,97.0,High
49,195238.29,4,1,97.0,High
56,90778.76,2,0,97.0,High
54,0.0,1,0,97.0,High
48,138232.24,1,0,97.0,High
54,0.0,1,0,96.0,High
60,96956.1,1,0,96.0,High
46,135555.66,1,0,96.0,High
46,46870.43,4,0,96.0,High
47,0.0,1,0,96.0,High
47,0.0,1,0,95.0,High
60,113715.36,1,0,95.0,High
41,142880.28,3,0,95.0,High
45,129818.39,3,0,95.0,High
50,109062.28,1,1,95.0,High
51,0.0,1,0,95.0,High
51,131156.76,1,0,95.0,High
55,111362.76,3,0,94.0,High
56,0.0,1,0,94.0,High
41,147726.98,3,0,94.0,High
60,0.0,1,0,94.0,High
65,120100.41,1,0,94.0,High
57,112281.6,3,0,94.0,High
29,101713.84,3,0,94.0,High
52,106723.28,1,0,94.0,High
54,0.0,1,0,93.0,High
50,0.0,1,0,93.0,High
45,164649.52,3,0,93.0,High
53,106261.63,1,0,93.0,High
61,110368.03,1,0,93.0,High
46,0.0,1,1,93.0,High
56,143249.67,1,0,93.0,High
46,143500.82,1,0,93.0,High
45,135643.0,1,0,92.0,High
50,146710.76,1,0,92.0,High
32,127785.17,4,0,92.0,High
61,125397.21,1,0,92.0,High
45,117231.63,3,1,92.0,High
63,131629.17,2,0,92.0,High
38,130878.75,3,0,91.0,High
53,98268.84,1,1,91.0,High
53,117005.55,1,1,91.0,High
50,0.0,4,1,91.0,High
57,0.0,1,0,91.0,High
43,116322.27,4,0,91.0,High
51,107714.74,3,0,91.0,High
45,120961.5,3,1,90.0,High
57,90212.0,1,0,90.0,High
35,118336.95,1,0,90.0,High
48,143595.87,1,0,90.0,High
48,0.0,1,0,90.0,High
45,111257.59,1,0,90.0,High
43,140080.32,3,1,90.0,High
40,0.0,3,0,90.0,High
48,111599.32,1,1,89.0,High
53,0.0,1,0,89.0,High
41,95020.8,3,1,89.0,High
54,128914.97,1,0,89.0,High
55,126817.65,2,0,89.0,High
61,0.0,1,0,89.0,High
56,116251.24,1,1,89.0,High
43,111677.88,1,0,89.0,High
46,134950.19,3,0,89.0,High
43,133379.41,1,0,89.0,High
62,114931.35,3,1,88.0,High
40,149131.03,3,1,88.0,High
40,168286.81,3,0,88.0,High
50,130023.38,1,0,88.0,High
45,110765.68,1,0,88.0,High
40,134504.78,1,0,88.0,High
50,115625.07,1,0,88.0,High
41,28082.95,1,0,88.0,High
51,108867.0,1,0,88.0,High
58,0.0,1,1,87.0,High
30,121345.88,4,0,87.0,High
39,132287.92,3,1,87.0,High
